Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),8/46,2.74750253562026e-12,6.77259375030394e-10,0,0,69.80350877192983,1858.192353907799,CSRP3;ACTN2;MYL2;ANKRD1;TCAP;KLHL41;LMOD2;MYH7,GO Biological Process
GO_Cellular_Component_2023,Cornified Envelope (GO:0001533),7/41,7.842343072732682e-11,3.2153606598204e-09,0,0,67.15814850530376,1562.6961324151755,SPRR2F;SPRR3;FLG2;SPRR2G;KRT2;SPRR2B;RPTN,GO Cellular Component
OMIM_Disease,"cardiomyopathy, hypertrophic",5/17,2.344537118946338e-09,6.252098983856902e-09,0,0,131.74603174603175,2617.9488272212684,CSRP3;ACTC1;TNNC1;MYL2;MYH7,OMIM Disease
GO_Biological_Process_2023,Heart Contraction (GO:0060047),7/41,7.842343072732682e-11,1.2887583782857376e-08,0,0,67.15814850530376,1562.6961324151755,CSRP3;ACTC1;TNNC1;MYL2;TCAP;TRDN;MYH7,GO Biological Process
GO_Biological_Process_2023,Striated Muscle Contraction (GO:0006941),7/57,8.836808105651632e-10,1.0891365990215637e-07,0,0,45.630819672131146,951.262284178066,CSRP3;TNNC1;MYL2;MYH8;TCAP;KLHL41;MYH7,GO Biological Process
Reactome_2022,Muscle Contraction R-HSA-397014,10/196,1.1521298445768035e-09,1.440162305721005e-07,0,0,18.303670745272527,376.71981031507784,MYBPC1;MYBPC2;DES;SLN;ACTN2;MYL1;MYL2;MYH8;TCAP;TRDN,Reactome Pathways
Human_Gene_Atlas,Heart,12/415,1.3871738105967568e-08,2.150119406424973e-07,0,0,10.384083658277207,187.8835069496649,CSRP3;ACTC1;DES;CTTN;CKM;ACTN2;TNNC1;MYL2;NRAP;MYH8;TCAP;MYH7,Human Gene Atlas
Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,7/74,5.747850140884365e-09,4.789875117403638e-07,0,0,34.02373379006606,645.5812933543245,SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;SPRR2B;RPTN,Reactome Pathways
PanglaoDB_Augmented_2021,Oxyphil Cells,7/94,3.0992056871200374e-08,7.334786792850754e-07,0,0,26.175805539853023,452.56750329269926,C10ORF71;ACTN2;SMYD1;CACNA1S;LMOD2;TRDN;MYH7,PanglaoDB
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),7/77,7.619631288666613e-09,7.51295645062528e-07,0,0,32.56065573770492,608.6412899845278,CSRP3;ACTN2;ANKRD1;TCAP;KLHL41;LMOD2;MYH7,GO Biological Process
OMIM_Disease,myopathy,5/44,3.833299673537719e-07,7.666599347075438e-07,0,0,40.48229548229549,598.1003991573739,ACTA1;MYH2;DES;MYF6;MYH7,OMIM Disease
CellMarker_2024,Myocyte Undefined Human,4/8,8.46494860665659e-09,1.1089082674720137e-06,0,0,311.375,5787.63046807539,MYOG;MYH1;MYH2;MYH7,CellMarker
Human_Gene_Atlas,Tongue,7/115,1.2541913742426248e-07,1.2959977533840458e-06,0,0,21.06375227686703,334.73682277332347,SPRR3;LCE3D;MYH2;SPINK7;ADH7;SPRR2B;TRDN,Human Gene Atlas
PanglaoDB_Augmented_2021,Clara Cells,7/113,1.111450078352812e-07,1.9728238890762416e-06,0,0,21.463346736776987,343.6803395774017,PIGR;SLC34A2;BPIFA1;BPIFB1;SCGB3A1;ADH7;MUC5B,PanglaoDB
Reactome_2022,Keratinization R-HSA-6805567,9/208,3.4690468492351564e-08,2.1681542807719727e-06,0,0,15.126224342049229,259.8201434525976,SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;KRT2;KRT24;SPRR2B;RPTN,Reactome Pathways
GO_Cellular_Component_2023,Muscle Myosin Complex (GO:0005859),4/14,1.1920688421339993e-07,3.2583215018329313e-06,0,0,124.5125,1985.0287437157128,MYH2;MYL1;MYH8;MYH7,GO Cellular Component
GO_Cellular_Component_2023,Myosin Filament (GO:0032982),4/15,1.621396359670757e-07,3.323862537325051e-06,0,0,113.1875,1769.664821735429,MYH1;MYH2;MYH8;MYH7,GO Cellular Component
GO_Biological_Process_2023,Sarcomere Organization (GO:0045214),5/29,4.3600051786859435e-08,3.582470921820283e-06,0,0,65.83333333333333,1115.7569936723246,CSRP3;ANKRD1;TCAP;LMOD2;MYH7,GO Biological Process
GO_Biological_Process_2023,Actin-Myosin Filament Sliding (GO:0033275),4/12,5.9250691261669034e-08,3.824143576823494e-06,0,0,155.65625,2590.3516772270473,MYH2;MYL1;MYH8;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),5/31,6.205506818374838e-08,3.824143576823494e-06,0,0,60.76312576312576,1008.3788769505026,TNNC1;MYL2;ANKRD1;TCAP;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Contraction (GO:0060048),5/33,8.622634593552894e-08,4.723287616246195e-06,0,0,56.4172335600907,917.6990859604076,CSRP3;TNNC1;MYL2;TCAP;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Myofibril Assembly (GO:0055003),4/15,1.621396359670757e-07,7.99348405317683e-06,0,0,113.1875,1769.664821735429,CSRP3;MYL2;NRAP;TCAP,GO Biological Process
CellMarker_2024,Contractile Smooth Muscle Cell Aorta Mouse,4/16,2.1563393383743657e-07,1.4124022666352096e-05,0,0,103.75,1592.5296753394375,MYH1;MYH2;DES;MYH7,CellMarker
GO_Biological_Process_2023,Epidermis Development (GO:0008544),6/85,4.367435703039008e-07,1.8722433053680655e-05,0,0,24.319722335647203,356.1360588140758,FLG2;SPRR2F;SPRR3;SPRR2G;KRT2;SPRR2B,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Contraction (GO:0003009),4/19,4.557184516108882e-07,1.8722433053680655e-05,0,0,82.9875,1211.7329064671835,TNNC1;MYH8;TCAP;MYH7,GO Biological Process
Cancer_Cell_Line_Encyclopedia,RH41 SOFT TISSUE,10/311,9.371636808559121e-08,2.3850815677782957e-05,0,0,11.24470156948104,181.97292652601183,MYOG;CHRND;CSRP3;C10ORF71;ACTC1;DES;MYL1;MYH8;ASB5;STATH,Cancer Cell Line Encyclopedia
PanglaoDB_Augmented_2021,Ionocytes,6/107,1.7022383284218771e-06,2.4171784263590657e-05,0,0,19.00127754710955,252.4047340561556,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7;SHANK2,PanglaoDB
KEGG_2021_Human,Dilated cardiomyopathy,6/96,8.990837685169573e-07,3.476457238265568e-05,0,0,21.335483870967742,297.03025159351245,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
KEGG_2021_Human,Cardiac muscle contraction,6/87,5.016037182758686e-07,3.476457238265568e-05,0,0,23.7168458781362,344.0236509399057,ACTC1;TNNC1;MYL2;CACNA1S;TRDN;MYH7,KEGG Pathways
KEGG_2021_Human,Hypertrophic cardiomyopathy,6/90,6.13538860194074e-07,3.476457238265568e-05,0,0,22.86635944700461,327.08091391776514,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
Cancer_Cell_Line_Encyclopedia,SNUC2A LARGE INTESTINE,6/80,3.04095477731656e-07,5.1594866055137627e-05,0,0,25.969485614646903,389.6961303965052,SPRR3;LCE3D;MYBPC1;BPIFB1;MUC5B;RPTN,Cancer Cell Line Encyclopedia
PanglaoDB_Augmented_2021,Myoblasts,6/126,4.41062574758605e-06,5.219240467976826e-05,0,0,15.977419354838707,197.02545068111573,MYOG;ACTC1;DES;MYL1;MYF6;ASB5,PanglaoDB
GO_Cellular_Component_2023,Actin Filament (GO:0005884),5/71,4.281406345798273e-06,7.021506407109167e-05,0,0,23.88888888888889,295.29602651426154,ACTA1;ACTC1;CTTN;ACTN2;LMOD2,GO Cellular Component
GO_Cellular_Component_2023,Supramolecular Fiber (GO:0099512),4/36,6.631012731346725e-06,9.062384066173856e-05,0,0,38.8671875,463.4427441612301,MYH1;MYH2;MYH8;MYH7,GO Cellular Component
CellMarker_2024,Secretory Cell Trachea Mouse,5/63,2.3603415917517268e-06,0.00010306824950649208,0,0,27.194854953475645,352.35569158807573,PIGR;ANO1;BPIFA1;BPIFB1;MUC5B,CellMarker
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),4/29,2.721978566510944e-06,0.00010322580256076118,0,0,49.7675,637.7282861665242,TNNC1;MYL2;MYBPH;CACNA1S,GO Biological Process
GO_Biological_Process_2023,Muscle Cell Fate Commitment (GO:0042693),3/9,3.1116468497818627e-06,0.0001095744212101756,0,0,153.27692307692308,1943.606324925113,MYOG;MYL2;MYF6,GO Biological Process
GO_Biological_Process_2023,Muscle Filament Sliding (GO:0030049),3/10,4.434399496193174e-06,0.00014574393010821564,0,0,131.37362637362637,1619.3268670724071,MYL1;MYH8;MYH7,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Organ Development (GO:0060538),4/35,5.909325614872254e-06,0.00018208109550825133,0,0,40.122983870967744,483.0397539091498,MYOG;CSRP3;DES;MYF6,GO Biological Process
Cancer_Cell_Line_Encyclopedia,SNU1214 UPPER AERODIGESTIVE TRACT,8/240,1.52094439828934e-06,0.00019354017468231852,0,0,11.32183908045977,151.66938407882094,FLG2;LCE3D;SPRR2G;SPINK7;SPINK6;KRT2;ADH7;RPTN,Cancer Cell Line Encyclopedia
CellMarker_2024,Secretory Cell Lung Human,5/80,7.720839576090566e-06,0.000252857496116966,0,0,21.012698412698413,247.35281685119588,PIGR;SLC34A2;BPIFA1;SCGB3A1;MUC5B,CellMarker
PanglaoDB_Augmented_2021,Airway Epithelial Cells,5/103,2.647066866178224e-05,0.0002684882107123627,0,0,16.062520246193717,169.29050295910355,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7,PanglaoDB
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),6/144,9.513330772216888e-06,0.00027588659239428974,0,0,13.88078541374474,160.50097466771362,ACTA1;ACTC1;NRAP;XIRP2;TCAP;LMOD2,GO Biological Process
ENCODE_TF_ChIP-seq_2015,TCF12 myocyte mm9,17/1223,4.801293360993649e-07,0.00030008083506210306,0,0,5.175787728026534,75.30362422224378,MYOG;CKM;TNNC1;MYBPH;KLHL41;LMOD2;ACTA1;CHRND;ACTC1;DES;MYL1;NRAP;ANKRD1;SMYD1;TCAP;CACNA1S;ASB5,ENCODE TF ChIP-seq
GO_Biological_Process_2023,Keratinocyte Differentiation (GO:0030216),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Tissue Development (GO:0007519),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,MYOG;CSRP3;MYF6;KLHL41,GO Biological Process
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),7/265,3.222894816860599e-05,0.0003775391071179558,0,0,8.750667174990468,90.50504846047008,ACTA1;ACTC1;CTTN;ACTN2;KRT2;NEFM;LMOD2,GO Cellular Component
Cancer_Cell_Line_Encyclopedia,BICR16 UPPER AERODIGESTIVE TRACT,6/125,4.211769696353973e-06,0.0004287581550888344,0,0,16.112496611547844,199.4344834595144,SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;KRT24,Cancer Cell Line Encyclopedia
CellMarker_2024,Secretory Cell Airway Epithelium Human,3/15,1.6610279367976186e-05,0.00043518931944097605,0,0,76.61538461538461,843.1897584581213,PIGR;BPIFB1;MUC5B,CellMarker
PanglaoDB_Augmented_2021,Airway Goblet Cells,5/118,5.086727192545035e-05,0.0004514470383383718,0,0,13.919792105632814,137.61511303446343,PIGR;BPIFB1;SCGB3A1;MUC5B;LTF,PanglaoDB
GO_Biological_Process_2023,Heart Process (GO:0003015),3/16,2.0393699200298096e-05,0.000502704685287348,0,0,70.71834319526627,763.778230654716,ACTC1;MYL2;TRDN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Myoblast Differentiation (GO:0045661),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,MYOG;MYF6;SMYD1;KLHL41,GO Biological Process
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
CellMarker_2024,Cardiomyocyte Heart Mouse,3/19,3.503155869033606e-05,0.0007648556980723372,0,0,57.45,589.3945574264905,ACTC1;ACTN2;TNNC1,CellMarker
Human_Gene_Atlas,Trachea,4/72,0.00010563700699436324,0.000818686804206315,0,0,18.25735294117647,167.15522777206678,PIGR;UPK1B;MUC5B;LTF,Human Gene Atlas
Cancer_Cell_Line_Encyclopedia,SJRH30 SOFT TISSUE,8/315,1.1271696753569324e-05,0.0009562156079277976,0,0,8.523344191096633,97.10829873823454,MYOG;CHRND;CSRP3;ACTC1;DES;CKM;SMYD1;STATH,Cancer Cell Line Encyclopedia
GO_Cellular_Component_2023,Sarcoplasmic Reticulum Membrane (GO:0033017),3/27,0.000103706510385465,0.001062991731451,0,0,38.284615384615385,351.2209812956565,SLN;KLHL41;TRDN,GO Cellular Component
Cancer_Cell_Line_Encyclopedia,HARA LUNG,5/93,1.6132240787677964e-05,0.0011730443658468,0,0,17.896825396825395,197.4859337497494,LCE3D;SPRR2G;SPINK7;SPINK6;NTS,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,SCC9 UPPER AERODIGESTIVE TRACT,7/248,2.1086994359826613e-05,0.0013416600161439,0,0,9.376028841575405,100.95033446750404,FLG2;SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;RPTN,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,TNNC1;MYL2;MYH7,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,MYOG;MYF6;SMYD1,GO Biological Process
GO_Biological_Process_2023,Skin Development (GO:0043588),4/68,8.447967374290188e-05,0.00166593916621,0,0,19.40234375,181.9745742695092,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
Cancer_Cell_Line_Encyclopedia,TE6 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;HORMAD1;FADD;NTS;ADH7,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,TE14 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;STATH;ADH7;RPTN;TRDN,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,TT OESOPHAGUS,7/262,2.997192444036378e-05,0.0016813791393369,0,0,8.8549662487946,92.22668249839322,ANO1;SPRR3;LCE3D;UPK1B;PPFIA1;FADD;ADH7,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Cardiac Muscle Cell Development (GO:0055013),3/26,9.240810800337933e-05,0.001752199894064,0,0,39.95117056856187,371.118242334436,CSRP3;MYL2;TCAP,GO Biological Process
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),7/316,9.767900963960374e-05,0.0017835463611972,0,0,7.287442304631545,67.29095868216858,DES;KRT2;KRT24;XIRP2;KLHL41;LMOD2;TRDN,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Fiber Development (GO:0048743),2/5,0.00011315119111665648,0.001969774434446,0,0,201.3030303030303,1829.1974888825955,MYOG;MYF6,GO Biological Process
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),3/28,0.00011586908437918095,0.001969774434446,0,0,36.751384615384616,333.0796211647444,PIGR;BPIFB1;LTF,GO Biological Process
CellMarker_2024,Cardiomyocyte Embryo Human,2/5,0.00011315119111665648,0.0021175437194688,0,0,201.3030303030303,1829.1974888825955,MYL2;MYH7,CellMarker
CellMarker_2024,Cardiomyocyte Heart Muscle Human,2/6,0.00016935418711549392,0.0024650442791255,0,0,150.96969696969697,1310.94811949453,MYL2;MYH7,CellMarker
CellMarker_2024,Granulocytic Neutrophil Blood Mouse,2/6,0.00016935418711549392,0.0024650442791255,0,0,150.96969696969697,1310.94811949453,GSTM1;LTF,CellMarker
GO_Biological_Process_2023,Skeletal Muscle Thin Filament Assembly (GO:0030240),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,ACTC1;TCAP,GO Biological Process
GO_Biological_Process_2023,Detection Of Muscle Stretch (GO:0035995),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,CSRP3;TCAP,GO Biological Process
CellMarker_2024,Myoblast Undefined Human,2/7,0.0002365753274945057,0.00281739708198,0,0,120.76969696969697,1008.3356546729788,MYOG;MYF6,CellMarker
CellMarker_2024,Club Cell (Clara Cell) Lung Human,2/7,0.0002365753274945057,0.00281739708198,0,0,120.76969696969697,1008.3356546729788,SCGB3A1;MUC5B,CellMarker
Cancer_Cell_Line_Encyclopedia,TE11 OESOPHAGUS,4/64,6.658670949613468e-05,0.0028243862611277,0,0,20.7,199.07201503915695,ANO1;PPFIA1;FADD;ADH7,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),3/33,0.0001906414942440443,0.0029370705206973,0,0,30.61846153846154,262.25067136359644,TNNC1;MYL2;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Hypertrophy (GO:0003300),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,CSRP3;TCAP,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Myotube Differentiation (GO:0010831),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;SMYD1,GO Biological Process
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Fiber Development (GO:0048742),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;MYF6,GO Biological Process
CellMarker_2024,Fibroblast Muscle Human,2/8,0.00031474126366608674,0.0034359254616881,0,0,100.63636363636364,811.5074475931799,MYH1;MYH7,CellMarker
PanglaoDB_Augmented_2021,Salivary Mucous Cells,4/105,0.0004512442209666195,0.0035598155209588,0,0,12.271658415841584,94.53474337185132,ANO1;LCE3D;SPRR2G;RPTN,PanglaoDB
GO_Biological_Process_2023,Muscle Cell Differentiation (GO:0042692),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;ACTN2;MYF6,GO Biological Process
GO_Biological_Process_2023,Muscle Tissue Development (GO:0060537),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;CSRP3;MYF6,GO Biological Process
KEGG_2021_Human,Chemical carcinogenesis,6/239,0.00016122034742936192,0.0037403120603611,0,0,8.181780423646684,71.44934899502134,GSTM1;CCND1;CACNA1S;FGF3;UGT1A7;FGF4,KEGG Pathways
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,5/150,0.00015818100130258317,0.0037403120603611,0,0,10.83032293377121,94.78450187002986,ACTC1;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
Cancer_Cell_Line_Encyclopedia,RH30 SOFT TISSUE,7/315,9.577071289703075e-05,0.0037497917588145,0,0,7.311475409836065,67.65712982382988,MYOG;CHRND;C10ORF71;ACTC1;DES;MYL1;ASB5,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Positive Regulation Of Myoblast Differentiation (GO:0045663),3/38,0.00029120715321542454,0.0037780296456632,0,0,26.237802197802196,213.6144284200033,MYOG;MYF6;SMYD1,GO Biological Process
GO_Biological_Process_2023,Adult Heart Development (GO:0007512),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,TCAP;MYH7,GO Biological Process
GO_Biological_Process_2023,Skeletal Myofibril Assembly (GO:0014866),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,ACTC1;TCAP,GO Biological Process
CellMarker_2024,Goblet Cell Airway Epithelium Human,2/9,0.00040377900206164984,0.004068849943852,0,0,86.25541125541126,674.0552332096978,SCGB3A1;MUC5B,CellMarker
GO_Cellular_Component_2023,Sarcoplasmic Reticulum (GO:0016529),3/45,0.0004815756056455739,0.0043876888514374,0,0,21.857142857142858,166.9546342358889,SLN;KLHL41;TRDN,GO Cellular Component
CellMarker_2024,Club Cell (Clara Cell) Airway Epithelium Human,2/10,0.0005036159037475685,0.0047124059564951,0,0,75.46969696969697,573.09398703068,SCGB3A1;MUC5B,CellMarker
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),3/42,0.0003924528755522667,0.0047190065279821,0,0,23.542011834319528,184.64221389004297,TNNC1;MYL2;MYH7,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643),2/9,0.00040377900206164984,0.0047395963813426,0,0,86.25541125541126,674.0552332096978,MYOG;MYF6,GO Biological Process
GO_Biological_Process_2023,Sarcoplasmic Reticulum Calcium Ion Transport (GO:0070296),2/10,0.0005036159037475685,0.0057740148964546,0,0,75.46969696969697,573.09398703068,SLN;TRDN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Muscle System Process (GO:0090257),2/11,0.0006141796834823028,0.0068816041808358,0,0,67.08080808080808,496.077536690995,SLN;TNNC1,GO Biological Process
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),6/327,0.0008521710408473169,0.0069878025349479,0,0,5.912270123605667,41.786289303267914,ACTA1;ACTC1;CTTN;ACTN2;MYL2;LMOD2,GO Cellular Component
GO_Biological_Process_2023,Blood Circulation (GO:0008015),3/50,0.0006571555344566322,0.0071995039663804,0,0,19.527004909983635,143.08588265054038,ACTC1;MYL2;TRDN,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Tissue Development (GO:0048738),3/52,0.0007373900840415971,0.0079028980746197,0,0,18.728100470957617,135.0744304682555,CSRP3;ANKRD1;TCAP,GO Biological Process
PanglaoDB_Augmented_2021,Pulmonary Alveolar Type II Cells,4/135,0.0011574048589502,0.0082175744985467,0,0,9.447041984732824,63.8768826308708,PIGR;SLC34A2;SCGB3A1;LTF,PanglaoDB
Cancer_Cell_Line_Encyclopedia,L33 PANCREAS,4/88,0.0002298672195672479,0.0083573153399806,0,0,14.767857142857142,123.72523594775036,BPIFA1;BPIFB1;SPINK6;MUC5B,Cancer Cell Line Encyclopedia
OMIM_Disease,muscular dystrophy,2/33,0.0056185685544129,0.0089897096870607,0,0,19.453567937438905,100.80213187276532,MYF6;TCAP,OMIM Disease
GO_Biological_Process_2023,Regulation Of Myoblast Fusion (GO:1901739),2/13,0.0008672004982370924,0.0090963796942741,0,0,54.878787878787875,386.90864481269017,MYOG;SCGB3A1,GO Biological Process
Cancer_Cell_Line_Encyclopedia,LU65 LUNG,4/93,0.00028417040343567076,0.0096428490232504,0,0,13.934691011235955,113.78980177265366,BPIFA1;BPIFB1;HORMAD1;MUC5B,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Striated Muscle Cell Development (GO:0055002),2/14,0.0010095147214072,0.0101569542378318,0,0,50.303030303030305,347.00466642918985,KLHL41;LMOD2,GO Biological Process
GO_Biological_Process_2023,Response To Muscle Stretch (GO:0035994),2/14,0.0010095147214072,0.0101569542378318,0,0,50.303030303030305,347.00466642918985,CSRP3;TCAP,GO Biological Process
Cancer_Cell_Line_Encyclopedia,VMRCLCP LUNG,4/96,0.0003208563224514985,0.0102072417579882,0,0,13.478260869565217,108.42610042953902,BPIFA1;UPK1B;BPIFB1;ADH7,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,BICR18 UPPER AERODIGESTIVE TRACT,4/100,0.000374898293077499,0.0112248959515557,0,0,12.9140625,101.87717668990722,SPRR3;PPFIA1;FADD;ADH7,Cancer Cell Line Encyclopedia
